reviews,seat_type,date,country,recommend
"""actively try and split families up""",Premium Economy,2024-01-29,United Kingdom,yes
"""my cabin luggage was taken""",Economy Class,2024-01-28,Ukraine,yes
“appalling service”,Business Class,2024-01-26,United Kingdom,no
“Worst service ever”,Economy Class,2024-01-23,Germany,no
"""unprofessional attitude of the pilots"" ",Economy Class,2024-01-21,United Kingdom,no
“Next time it will be Jet2”,Economy Class,2024-01-18,United Kingdom,no
“become the Ryanair of long-haul travel”,Economy Class,2024-01-18,United Kingdom,no
“They never help us”,Business Class,2024-01-17,Germany,no
“uncomfortable seat and disgusting food”,Business Class,2024-01-16,United Kingdom,no
"""Zero customer service""",Economy Class,2024-01-15,Ireland,no
"""baggage arrival nearly took 1.5 hours"" ",Economy Class,2024-01-12,United Kingdom,no
"""Overall very satisfied""",Economy Class,2024-01-12,United Kingdom,yes
"""airline is a total disgrace"" ",Business Class,2024-01-09,Spain,no
"""we were pleased with the service""",Business Class,2024-01-07,United Kingdom,yes
"""Gate agent was extremely rude""",Economy Class,2024-01-03,United States,no
"""incredibly heartless and incompetent company""",Business Class,2024-01-02,China,no
"""their service was hit-and-miss""",Business Class,2023-12-29,United Kingdom,yes
""" Worse than a low-cost carrier""",Economy Class,2023-12-29,United Kingdom,no
"""Very Poor Business class product""",Business Class,2023-12-27,United Kingdom,no
“if GF - take your own food”,Business Class,2023-12-27,United Kingdom,no
“pathetic business class product”,Business Class,2023-12-23,United States,no
“Staff look tired and overworked”,Premium Economy,2023-12-21,Canada,no
“I couldn’t fault them”,Business Class,2023-12-21,Australia,yes
“incompetence in customer service”,Economy Class,2023-12-21,United States,no
“The most ridiculous thing I've heard”,Premium Economy,2023-12-20,United States,no
"""one of the most disgusting onboard meals""",Business Class,2023-12-20,United Kingdom,yes
“Does BA pay experts to design these breakfasts”,Business Class,2023-12-18,United Kingdom,yes
"""business class seats were abysmal""",Business Class,2023-12-17,United States,no
"""Worst service/airline ever""",Economy Class,2023-12-15,United Kingdom,no
“Much better experience this time around”,Business Class,2023-12-14,United Kingdom,yes
"“our compensation rights""",Business Class,2023-12-12,United Kingdom,no
"""A380's are showing their age""",Economy Class,2023-12-12,United Kingdom,no
"""Service was fantastic"" ",Economy Class,2023-12-10,United Kingdom,yes
"""it was a very nice flight"" ",Business Class,2023-12-10,United Kingdom,yes
"""onboard service was efficient""",Economy Class,2023-12-09,United Kingdom,yes
“Lots of stress”,Economy Class,2023-12-06,Ecuador,no
"""did not offer a wheelchair""",Economy Class,2023-12-05,United States,no
“Seat was fine but product ageing”,Business Class,2023-12-04,United Kingdom,yes
"""such a terrible customer experience"" ",Economy Class,2023-12-03,United Kingdom,no
"""I was pleasantly surprised""",Economy Class,2023-11-30,United Kingdom,yes
"""Buckle up, folks; this one's a rollercoaster""",Economy Class,2023-11-26,Switzerland,no
"""cabin crew excellent""",First Class,2023-11-23,United Kingdom,yes
"""Service level far worse then Ryanair""",Economy Class,2023-11-19,Germany,no
"""do not upgrade members based on status""",Economy Class,2023-11-19,United States,no
"""Flight was smooth and quick""",Business Class,2023-11-16,Ireland,yes
"""Absolutely hopeless airline""",Economy Class,2023-11-16,Australia,no
"""Customer Service is non existent""",Economy Class,2023-11-14,United States,no
"""I can’t imagine a worst airline""",Economy Class,2023-11-12,Romania,no
"""sufficient leg and arm room""",Premium Economy,2023-11-08,United Kingdom,yes
“crew were polite”,Economy Class,2023-11-07,United Kingdom,yes
"""Angry, disappointed, and unsatisfied""",Economy Class,2023-11-05,Italy,yes
"""BA now stands for Basic Airways""",Economy Class,2023-11-05,United Kingdom,no
"""A totally unremarkable flight""",Business Class,2023-11-04,Ireland,yes
“BA clearly does not care”,Economy Class,2023-10-31,United States,no
"""reflect a downward trend of the airline""",Economy Class,2023-10-28,United Kingdom,no
"""One of my better flights""",Economy Class,2023-10-24,United States,yes
"""I would still recommend BA"" ",Economy Class,2023-10-23,United Kingdom,yes
"""the worst experience ever""",Economy Class,2023-10-22,United States,no
"""an exceptional crew member"" ",Economy Class,2023-10-22,United Kingdom,yes
"""even Ryanair have more space""",Economy Class,2023-10-21,Netherlands,no
"""in-flight service is usually weak""",Economy Class,2023-10-21,United Kingdom,no
"""BA customer service is a disgrace""",Business Class,2023-10-19,United Kingdom,no
"""little concern for customer service""",Economy Class,2023-10-19,United States,no
