reviews,seat_type,date,country,recommend
"""unlimited legroom and a speedy exit""",Economy Class,2015-12-08,United Kingdom,yes
"""Very little leg room""",Economy Class,2015-12-07,United Kingdom,no
"""wasn't as unpleasant as I had expected""",Economy Class,2015-12-05,United Kingdom,yes
"""cabin now feels outdated""",Premium Economy,2015-12-05,United Kingdom,yes
"""get your act together""",First Class,2015-12-04,Belgium,yes
"""never been so disappointed""",First Class,2015-12-02,Denmark,no
"""comfortable, if narrow, seats""",Business Class,2015-12-01,United Kingdom,yes
"""crummy Boeing 747s""",Premium Economy,2015-12-01,United Kingdom,yes
"""never going to fly them again """,Economy Class,2015-12-01,United Kingdom,no
"""disappointed by lack of care""",Economy Class,2015-12-01,United Kingdom,yes
"""horrid excuse for customer service""",Economy Class,2015-12-01,United States,no
"""staff bordering on rude""",Premium Economy,2015-12-01,United Kingdom,no
"""flights therefore very uncomfortable""",Economy Class,2015-12-01,United States,yes
"""pleasantly surprised""",Economy Class,2015-12-01,United Kingdom,yes
"""vegetarian salad was welcome""",Economy Class,2015-12-01,United Kingdom,yes
"""miserable Business Class experience""",Business Class,2015-11-30,United Kingdom,no
"""British Airways have lost the plot""",Economy Class,2015-11-30,United Kingdom,no
"""aircraft are old and shabby""",Premium Economy,2015-11-29,United Kingdom,no
"""the food was shocking""",Premium Economy,2015-11-29,United Kingdom,no
"""treat passengers poorly""",Economy Class,2015-11-29,United Kingdom,yes
"""made me check my carry-on bag""",Economy Class,2015-11-28,United States,no
"""service very mediocre at best""",Business Class,2015-11-27,United Kingdom,no
"""disgusted by such treatment""",Economy Class,2015-11-27,United Kingdom,no
"""large and very private seating""",First Class,2015-11-26,United Kingdom,yes
"""just about okay overall""",Business Class,2015-11-25,United Kingdom,yes
"""excellent flight on A380""",Premium Economy,2015-11-25,France,yes
"""pleased with my flight""",Economy Class,2015-11-25,Canada,yes
"""is well worth the extra""",Premium Economy,2015-11-24,United Kingdom,yes
"""sunk to new depths""",Economy Class,2015-11-24,United Kingdom,no
"""uncomfortable business class flight""",Business Class,2015-11-23,United Kingdom,no
"""Not great, not bad, just OK""",Premium Economy,2015-11-23,United Kingdom,yes
"""service pretty good""",Economy Class,2015-11-23,United Kingdom,yes
"""crew competent and approachable""",Business Class,2015-11-22,United Kingdom,yes
"""this policy is ridiculous""",Economy Class,2015-11-21,United States,no
"""comfortable, if narrow, seats""",Business Class,2015-11-20,United Kingdom,yes
"""inconsistency with cabin crew""",Business Class,2015-11-20,Italy,yes
"""crummy Boeing 747s""",Premium Economy,2015-11-20,United Kingdom,yes
"""return trip not worth it""",Business Class,2015-11-18,United Kingdom,no
"""not received a refund""",Economy Class,2015-11-18,Ireland,no
"""dried up sandwich""",Business Class,2015-11-18,United Kingdom,no
"""out of date with modern standards""",Business Class,2015-11-18,United Kingdom,yes
"""not a First Class experience """,First Class,2015-11-17,United Kingdom,yes
"""uninterested and unfriendly""",Economy Class,2015-11-17,Ireland,no
"""pleasant ambience onboard""",Premium Economy,2015-11-17,Australia,yes
"""paying for seat selection""",Economy Class,2015-11-16,Greece,yes
"""costs double the average""",Economy Class,2015-11-16,United Kingdom,no
"""Four excellent flights""",Economy Class,2015-11-16,United Kingdom,yes
"""First class was underwhelming""",First Class,2015-11-15,United Kingdom,no
"""not the brand they were""",Business Class,2015-11-15,United Kingdom,no
"""service was lousy on both flights""",Business Class,2015-11-15,Germany,no
"""loyalty may have come to an end""",Economy Class,2015-11-14,United Kingdom,yes
"""just did not care at all""",Economy Class,2015-11-14,United Kingdom,no
"""farcical flight to be honest""",Economy Class,2015-11-14,United Kingdom,no
"""meal was past terrible""",Economy Class,2015-11-14,New Zealand,no
"""so much cabin baggage""",Economy Class,2015-11-13,United Kingdom,yes
"""really below average""",Business Class,2015-11-12,United Kingdom,no
"""interior very old and dirty""",Economy Class,2015-11-12,United Kingdom,no
"""Business seats are horrid""",Business Class,2015-11-12,Thailand,no
"""awful customer service""",Business Class,2015-11-11,United Kingdom,no
"""would fly them again""",First Class,2015-11-10,Australia,yes
"""isn't as good as Singapore and Emirates""",First Class,2015-11-10,United Kingdom,yes
"""not at all impressed""",Economy Class,2015-11-10,India,no
"""food was very poor""",Business Class,2015-11-10,United Kingdom,no
"""a good experience""",Premium Economy,2015-11-10,France,yes
"""they are so greedy""",Economy Class,2015-11-10,United States,no
"""a great experience""",First Class,2015-11-09,Singapore,yes
"""not flying British Airways again""",Economy Class,2015-11-09,United Kingdom,no
"""way British Airways handled this was atrocious""",Economy Class,2015-11-08,United States,no
"""recommend the A380""",Economy Class,2015-11-08,Sweden,yes
"""try to avoid BA in the future""",Economy Class,2015-11-07,United Kingdom,no
"""treatment was appalling""",Economy Class,2015-11-06,United Kingdom,no
"""no space to work""",Business Class,2015-11-06,United Kingdom,no
"""courteous and professional""",Economy Class,2015-11-06,Switzerland,yes
"""exemplary in every way""",Business Class,2015-11-05,United States,yes
"""snottiest crew I ever came across""",First Class,2015-11-05,United Arab Emirates,no
"""going back to Virgin Atlantic """,Premium Economy,2015-11-04,United Kingdom,no
"""dismayed by the BA agent""",Economy Class,2015-11-04,United Kingdom,yes
"""seats are very tired""",Economy Class,2015-11-04,United Kingdom,yes
"""cabin crew did a great job""",Economy Class,2015-11-03,United States,yes
"""lack of service amazed me""",Business Class,2015-11-03,United States,no
"""you will get value for money""",Economy Class,2015-11-03,United Kingdom,yes
"""indifferent cabin crew""",Business Class,2015-11-02,Singapore,no
"""prefer the 747 upper deck""",Business Class,2015-11-02,Israel,no
"""FA's showed no enthusiasm""",Economy Class,2015-11-01,United Kingdom,yes
"""BA really need to address this""",Economy Class,2015-11-01,United Kingdom,yes
"""once a great airline is going downhill""",Premium Economy,2015-11-01,United Kingdom,no
"""flight attendants seemed friendly""",Premium Economy,2015-10-31,United Kingdom,yes
"""extremely friendly and competent""",Economy Class,2015-10-31,Italy,yes
"""a mediocre performance from BA""",Business Class,2015-10-31,United Kingdom,yes
"""personal space is rather limited""",Business Class,2015-10-31,United Kingdom,yes
"""very spacious suite""",First Class,2015-10-31,United Kingdom,yes
"""will use other carriers""",Economy Class,2015-10-30,United Kingdom,no
"""the seat was roomy""",Premium Economy,2015-10-30,United Kingdom,yes
"""FA's were happy to assist""",Economy Class,2015-10-30,United Kingdom,yes
"""very high standard of service""",Economy Class,2015-10-29,United Kingdom,yes
"""very good flying experience""",Business Class,2015-10-29,United Kingdom,yes
"""not helped by customer service""",Economy Class,2015-10-29,United States,no
"""keep expectations in check""",Premium Economy,2015-10-28,United Kingdom,yes
"""nothing was offered to help""",Economy Class,2015-10-27,United States,no
"""lot of money for little in return""",Premium Economy,2015-10-27,United Kingdom,no
"""complain about the way we were treated """,Economy Class,2015-10-26,United Kingdom,no
"""service however lacked shine""",Economy Class,2015-10-26,United Kingdom,no
"""horrible return flights""",Economy Class,2015-10-26,Australia,no
"""lounge more like a refugee centre""",Business Class,2015-10-26,United Kingdom,no
"""cracks are starting to appear""",Economy Class,2015-10-25,Switzerland,yes
"""seats are just the same""",Business Class,2015-10-23,United Kingdom,no
"""advise not to waste your money""",Economy Class,2015-10-23,United Kingdom,no
"""plenty of legroom""",Premium Economy,2015-10-22,Australia,yes
"""premium economy pathetic""",Premium Economy,2015-10-22,United Kingdom,no
"""last time using British Airways """,Business Class,2015-10-22,Australia,no
"""a huge improvement""",Premium Economy,2015-10-21,United Kingdom,yes
"""British Airways really don't care """,Business Class,2015-10-21,United Kingdom,no
"""how underwhelmed we were""",Business Class,2015-10-21,Australia,no
"""my seat was broken""",Economy Class,2015-10-21,United Kingdom,no
"""food and wine excellent""",Business Class,2015-10-20,United Kingdom,yes
"""lot of catching up to do""",Business Class,2015-10-19,Singapore,no
"""minimized the leg space""",Business Class,2015-10-18,United Kingdom,no
"""cabin crew efficient""",Business Class,2015-10-18,United Kingdom,yes
British Airways customer review,Premium Economy,2015-10-17,United Kingdom,yes
"""food was indifferent""",Premium Economy,2015-10-17,United Kingdom,no
"""leg room was good""",Economy Class,2015-10-16,United Kingdom,yes
"""clearly cost cutting now""",Economy Class,2015-10-16,United Kingdom,no
"""TV did not work entire flight""",Economy Class,2015-10-16,United Kingdom,no
"""obvious cost cutting""",Business Class,2015-10-16,United Kingdom,no
"""a total rip off""",Economy Class,2015-10-16,Australia,no
"""service was efficient and friendly""",Business Class,2015-10-16,United Kingdom,yes
"""never fly British Airways again""",Business Class,2015-10-15,Malaysia,no
"""one of the worst experiences""",Business Class,2015-10-15,United States,no
"""cabin crew was not the friendliest""",Business Class,2015-10-15,United States,no
"""pay to choose seats""",Economy Class,2015-10-14,United Kingdom,yes
"""behind their competitors""",First Class,2015-10-14,United Kingdom,yes
"""great choice of films""",Economy Class,2015-10-14,United Kingdom,yes
"""disgraceful attitude""",Economy Class,2015-10-12,Israel,no
"""decent service for a short flight""",Economy Class,2015-10-12,United Kingdom,yes
"""a disgrace and inedible""",Economy Class,2015-10-12,United Kingdom,no
"""service was good""",Business Class,2015-10-11,Spain,yes
"""cabin the biggest disappointment""",Economy Class,2015-10-11,United Kingdom,yes
"""failed to provide information""",Economy Class,2015-10-10,Finland,no
"""a pleasant flight""",Economy Class,2015-10-10,Netherlands,yes
"""plane was really scruffy""",Premium Economy,2015-10-09,United Kingdom,yes
"""legroom could be better""",Business Class,2015-10-09,United Kingdom,yes
"""will now be considering other airlines""",Economy Class,2015-10-09,United Kingdom,yes
"""inflight entertainment is rubbish""",Economy Class,2015-10-09,United Kingdom,no
"""no passenger baggage arrived""",Economy Class,2015-10-08,Canada,no
"""need help to get the service right""",First Class,2015-10-07,Australia,yes
"""you could care less""",Premium Economy,2015-10-07,United States,no
"""Fawlty Towers of customer service""",Economy Class,2015-10-07,United Kingdom,no
"""seamless and effortless""",Economy Class,2015-10-07,United Kingdom,yes
"""new plane, tired old seat design""",Business Class,2015-10-07,Australia,yes
"""airline with very mixed quality""",Premium Economy,2015-10-07,Germany,no
"""food choice was great""",Business Class,2015-10-06,United States,yes
"""brusque drinks service""",Economy Class,2015-10-06,United Kingdom,no
"""our luggage left at Heathrow""",Economy Class,2015-10-05,United Kingdom,no
"""Boeing 747 horribly outdated""",Economy Class,2015-10-05,United Kingdom,no
"""very disappointed in British Airways""",Business Class,2015-10-04,United Kingdom,yes
"""disgraceful level of cleanliness""",Business Class,2015-10-03,United Kingdom,no
"""staff were great""",Economy Class,2015-10-02,United Kingdom,yes
"""seats are far too cramped""",Economy Class,2015-10-02,United Kingdom,no
"""crew were friendly and attentive""",Economy Class,2015-10-02,United Kingdom,yes
"""clapped-out aircraft""",Economy Class,2015-10-01,Ireland,no
"""pretty much a low-cost airline""",Economy Class,2015-10-01,Austria,yes
"""seats were extremely small""",Economy Class,2015-10-01,United States,no
"""a smile would go a long way""",Economy Class,2015-10-01,United Kingdom,no
"""made to feel a huge inconvenience""",Business Class,2015-10-01,United Kingdom,no
"""never fly British Airways again""",Economy Class,2015-09-30,United States,no
"""fare paid very similar to easyJet""",Business Class,2015-09-30,United Kingdom,yes
"""pre-boarding not a premium product""",Business Class,2015-09-30,United Kingdom,yes
"""we were pleasantly surprised""",Economy Class,2015-09-29,United Kingdom,yes
"""cabin crew tend to forget you""",Business Class,2015-09-27,Canada,yes
"""compared with old seats, not very comfortable""",Business Class,2015-09-27,Sweden,yes
"""they did not have my vegetarian meal""",Economy Class,2015-09-27,United Kingdom,no
British Airways customer review,Business Class,2015-09-27,Australia,yes
"""lose some of their arrogant approach""",Business Class,2015-09-27,United Kingdom,no
"""product and service is so old and tired""",Business Class,2015-09-27,Canada,no
"""for just £39 was a bargain""",Economy Class,2015-09-26,United Kingdom,yes
"""British Airways could not care less""",Economy Class,2015-09-26,United Kingdom,no
"""British Airways a cut above US carriers""",Premium Economy,2015-09-26,United States,yes
"""not recommend flying long haul with BA""",Economy Class,2015-09-25,United Kingdom,no
"""wouldn't recommend spending extra for Club Europe""",Business Class,2015-09-24,United Kingdom,no
"""my wife and I were seated 4 rows apart""",Economy Class,2015-09-24,United Kingdom,no
"""flight experience was great""",Economy Class,2015-09-23,Netherlands,yes
"""cabin interior looked old and worn""",Economy Class,2015-09-23,Netherlands,yes
"""customer service was poor""",Economy Class,2015-09-23,United Kingdom,no
"""best pasta dish I have had on a plane""",Business Class,2015-09-23,United Kingdom,yes
"""efficient, punctual and comfortable""",Economy Class,2015-09-22,United Kingdom,yes
"""look at competitors. otherwise book economy""",Business Class,2015-09-20,Australia,no
"""Club Europe is poor value""",Business Class,2015-09-20,United Kingdom,no
"""British Airways service getting worse and worse""",First Class,2015-09-20,United Kingdom,no
"""British Airways service slipping rapidly""",Economy Class,2015-09-19,United Kingdom,yes
"""Seats in Club Europe identical to Economy""",Business Class,2015-09-19,United Kingdom,no
"""what has happened to British Airways""",Economy Class,2015-09-19,United Kingdom,no
"""enjoyed the flight in Club World""",Business Class,2015-09-19,United Kingdom,yes
"""I will still avoid British Airways if I can""",Premium Economy,2015-09-18,United Kingdom,no
"""greedy company who are in decline""",Economy Class,2015-09-18,United Kingdom,no
"""British Airways has fallen prey to greed""",Business Class,2015-09-18,United Kingdom,no
"""British Airways have gradually deteriorated""",Economy Class,2015-09-17,United Kingdom,no
"""Boeing 747-400 well past a major refurbishment""",Economy Class,2015-09-16,United Kingdom,no
"will never fly British Airways again """,Business Class,2015-09-15,United Arab Emirates,no
"""Overall a pleasant experience""",Premium Economy,2015-09-15,Canada,yes
"""British Airways customer service is laughable""",Economy Class,2015-09-15,United Kingdom,yes
"""seat comfortable in World Traveller Plus""",Premium Economy,2015-09-15,Canada,yes
"""I will avoid British Airways in the future""",Business Class,2015-09-14,United States,no
"""very nice seats and comfortable""",Economy Class,2015-09-14,United Kingdom,yes
"""I was very disappointed with British Airways""",Economy Class,2015-09-14,United Kingdom,no
"""Boeing 777-200 needs replacing soon""",Economy Class,2015-09-11,United Kingdom,yes
"""overall a comfortable short flight""",Economy Class,2015-09-11,United Kingdom,yes
"""even US carriers offer superior seating""",Business Class,2015-09-11,United Kingdom,yes
"""customer service gone out of the window""",Business Class,2015-09-10,United Kingdom,no
"""not recommend British Airways to worst enemy""",Business Class,2015-09-09,United Kingdom,no
"""never recommend British Airways to anyone""",Economy Class,2015-09-09,United Kingdom,no
"""seat was not fit for purpose""",Economy Class,2015-09-08,Spain,no
"""never fly British Airways First class again""",First Class,2015-09-08,Spain,no
"""space for improvement at British Airways""",Economy Class,2015-09-08,Italy,no
"""British Airways is simply terrible""",Economy Class,2015-09-08,United Kingdom,no
"""seats comfortable for a short flight""",Business Class,2015-09-07,United Kingdom,yes
"""Problem is how inconsistent British Airways is"" ",Economy Class,2015-09-07,South Africa,yes
"""plane was freezing both there and back""",Economy Class,2015-09-07,United Kingdom,no
"""space in economy is abysmal""",Economy Class,2015-09-07,United Kingdom,no
"""Club Europe seats not fit for purpose """,Business Class,2015-09-06,United Kingdom,no
"""never use British Airways again",Economy Class,2015-09-06,United Kingdom,no
"""other budget airlines better wake up""",Economy Class,2015-09-06,United Kingdom,yes
"""the worst lounge experience ever""",First Class,2015-09-05,United Kingdom,no
"""what is there to like about BA""",Business Class,2015-09-05,United Kingdom,no
"""dirt between seats that is disgusting""",Economy Class,2015-09-05,United Kingdom,no
"""too much money for such mediocre service",Business Class,2015-09-04,United Kingdom,no
"""simply not worth the premium prices""",Business Class,2015-09-04,United Kingdom,no
"""BA have improved both service""",Business Class,2015-09-04,United Kingdom,yes
"""service ok""",Business Class,2015-09-03,United Kingdom,yes
"""I would struggle to get comfortable""",First Class,2015-09-02,United Kingdom,no
"""strange new Club Europe seats""",Business Class,2015-09-02,United Kingdom,yes
"""need to up their game""",Business Class,2015-09-02,United Kingdom,no
"""our last flight with British Airways""",Economy Class,2015-09-01,Germany,no
"""supposed legacy airline""",Economy Class,2015-09-01,United Kingdom,no
"""staff amiable and present""",Economy Class,2015-09-01,Australia,yes
"""cannot fault the service""",Economy Class,2015-08-31,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-31,United Kingdom,yes
British Airways customer review,Business Class,2015-08-30,Canada,no
British Airways customer review,Economy Class,2015-08-29,United Kingdom,no
British Airways customer review,Economy Class,2015-08-29,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-29,United Kingdom,no
British Airways customer review,Economy Class,2015-08-29,United Kingdom,no
British Airways customer review,Economy Class,2015-08-28,United Kingdom,no
British Airways customer review,Economy Class,2015-08-28,United Kingdom,no
British Airways customer review,Business Class,2015-08-27,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-27,United Kingdom,no
British Airways customer review,Business Class,2015-08-27,Australia,no
British Airways customer review,Business Class,2015-08-27,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-26,United Kingdom,no
British Airways customer review,Business Class,2015-08-26,Denmark,no
British Airways customer review,Economy Class,2015-08-26,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-26,United Kingdom,no
British Airways customer review,Economy Class,2015-08-25,Canada,no
British Airways customer review,Economy Class,2015-08-25,United Kingdom,no
British Airways customer review,Economy Class,2015-08-23,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-22,United Kingdom,no
British Airways customer review,First Class,2015-08-20,United States,yes
British Airways customer review,Business Class,2015-08-20,United States,yes
British Airways customer review,Economy Class,2015-08-20,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-20,United Kingdom,no
British Airways customer review,Business Class,2015-08-20,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-20,Belgium,yes
British Airways customer review,Economy Class,2015-08-18,Australia,yes
British Airways customer review,Business Class,2015-08-18,Saudi Arabia,no
British Airways customer review,Business Class,2015-08-18,Saudi Arabia,no
British Airways customer review,Business Class,2015-08-18,United Kingdom,yes
British Airways customer review,Business Class,2015-08-18,Ghana,no
British Airways customer review,Economy Class,2015-08-17,United States,no
British Airways customer review,Economy Class,2015-08-17,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-17,United Kingdom,no
British Airways customer review,Business Class,2015-08-17,Canada,yes
British Airways customer review,Business Class,2015-08-15,Belgium,yes
British Airways customer review,Economy Class,2015-08-15,United Kingdom,no
British Airways customer review,Economy Class,2015-08-14,Saudi Arabia,no
British Airways customer review,First Class,2015-08-14,United States,no
British Airways customer review,Economy Class,2015-08-13,United Kingdom,no
British Airways customer review,Economy Class,2015-08-12,United States,no
British Airways customer review,Business Class,2015-08-11,United Kingdom,yes
British Airways customer review,Business Class,2015-08-11,Italy,no
British Airways customer review,Economy Class,2015-08-11,Ireland,yes
British Airways customer review,Business Class,2015-08-11,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-11,United States,yes
British Airways customer review,Economy Class,2015-08-10,Australia,no
British Airways customer review,Business Class,2015-08-09,Italy,yes
British Airways customer review,Business Class,2015-08-09,Australia,no
British Airways customer review,First Class,2015-08-09,Australia,no
British Airways customer review,Economy Class,2015-08-09,United Kingdom,yes
British Airways customer review,Business Class,2015-08-09,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-08,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-08,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-08,United Kingdom,no
British Airways customer review,Business Class,2015-08-07,United Kingdom,no
British Airways customer review,Economy Class,2015-08-06,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-06,United Kingdom,no
British Airways customer review,Economy Class,2015-08-06,United Kingdom,yes
British Airways customer review,Economy Class,2015-08-06,Canada,no
British Airways customer review,Economy Class,2015-08-06,Australia,no
British Airways customer review,Economy Class,2015-08-04,United Kingdom,no
British Airways customer review,Economy Class,2015-08-04,South Africa,yes
British Airways customer review,Economy Class,2015-08-04,South Africa,yes
British Airways customer review,First Class,2015-08-04,United Kingdom,no
British Airways customer review,Economy Class,2015-08-04,United Kingdom,no
British Airways customer review,Business Class,2015-08-03,Switzerland,no
British Airways customer review,Business Class,2015-08-03,United Kingdom,no
British Airways customer review,Premium Economy,2015-08-02,United Kingdom,no
British Airways customer review,Premium Economy,2015-08-01,United States,no
British Airways customer review,Economy Class,2015-08-01,United Kingdom,no
British Airways customer review,Economy Class,2015-08-01,Australia,no
British Airways customer review,Economy Class,2015-07-31,United Kingdom,no
British Airways customer review,Business Class,2015-07-31,South Africa,no
British Airways customer review,Premium Economy,2015-07-29,South Korea,no
British Airways customer review,Economy Class,2015-07-29,Switzerland,yes
British Airways customer review,First Class,2015-07-28,United Kingdom,no
British Airways customer review,First Class,2015-07-27,United Arab Emirates,no
British Airways customer review,Economy Class,2015-07-27,United Kingdom,yes
British Airways customer review,Business Class,2015-07-27,United Kingdom,no
British Airways customer review,Economy Class,2015-07-26,United Kingdom,no
British Airways customer review,Business Class,2015-07-25,United Kingdom,yes
British Airways customer review,Business Class,2015-07-25,United Kingdom,yes
British Airways customer review,Business Class,2015-07-25,United Kingdom,no
British Airways customer review,Business Class,2015-07-25,United Kingdom,no
British Airways customer review,Economy Class,2015-07-23,United Kingdom,yes
British Airways customer review,Business Class,2015-07-23,United States,yes
British Airways customer review,Economy Class,2015-07-22,United Kingdom,no
British Airways customer review,Economy Class,2015-07-22,United Kingdom,no
British Airways customer review,Economy Class,2015-07-21,United States,no
British Airways customer review,Economy Class,2015-07-21,United Kingdom,no
British Airways customer review,Economy Class,2015-07-21,Singapore,no
British Airways customer review,Economy Class,2015-07-21,United Kingdom,yes
British Airways customer review,Economy Class,2015-07-20,United States,yes
British Airways customer review,Premium Economy,2015-07-20,United States,yes
British Airways customer review,Business Class,2015-07-20,United States,yes
British Airways customer review,Business Class,2015-07-20,Australia,no
British Airways customer review,First Class,2015-07-18,United Kingdom,yes
British Airways customer review,Business Class,2015-07-17,United Kingdom,yes
British Airways customer review,Economy Class,2015-07-17,United Kingdom,no
British Airways customer review,Economy Class,2015-07-17,United Kingdom,yes
British Airways customer review,Business Class,2015-07-16,United Kingdom,yes
British Airways customer review,First Class,2015-07-16,United Kingdom,yes
British Airways customer review,Business Class,2015-07-15,United States,no
British Airways customer review,Economy Class,2015-07-15,United States,no
British Airways customer review,Economy Class,2015-07-14,United Kingdom,yes
British Airways customer review,Economy Class,2015-07-14,United Kingdom,no
British Airways customer review,Business Class,2015-07-13,Israel,yes
British Airways customer review,Economy Class,2015-07-13,United Kingdom,yes
British Airways customer review,Business Class,2015-07-12,Australia,no
British Airways customer review,Economy Class,2015-07-12,Thailand,no
British Airways customer review,Business Class,2015-07-12,United Kingdom,yes
British Airways customer review,Economy Class,2015-07-12,United Kingdom,yes
British Airways customer review,Economy Class,2015-07-11,United Kingdom,no
British Airways customer review,Business Class,2015-07-10,Australia,yes
British Airways customer review,Premium Economy,2015-07-09,United States,yes
British Airways customer review,Business Class,2015-07-09,Australia,no
British Airways customer review,Business Class,2015-07-09,Thailand,no
British Airways customer review,First Class,2015-07-08,Ireland,no
British Airways customer review,Business Class,2015-07-07,Australia,no
British Airways customer review,Business Class,2015-07-07,Australia,no
British Airways customer review,Business Class,2015-07-07,Australia,no
British Airways customer review,Economy Class,2015-07-06,United Kingdom,no
British Airways customer review,Business Class,2015-07-06,United Kingdom,yes
British Airways customer review,Economy Class,2015-07-05,United Kingdom,no
British Airways customer review,Economy Class,2015-07-05,United Kingdom,no
British Airways customer review,Economy Class,2015-07-04,United Kingdom,yes
British Airways customer review,Economy Class,2015-07-04,United States,no
British Airways customer review,Economy Class,2015-07-04,Canada,no
British Airways customer review,Economy Class,2015-07-03,Singapore,no
British Airways customer review,Economy Class,2015-07-03,Thailand,no
British Airways customer review,Business Class,2015-07-02,Hong Kong,no
British Airways customer review,Economy Class,2015-07-01,United Kingdom,no
British Airways customer review,Economy Class,2015-07-01,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-30,Canada,yes
British Airways customer review,Premium Economy,2015-06-29,United Kingdom,no
British Airways customer review,Economy Class,2015-06-28,Thailand,no
British Airways customer review,Economy Class,2015-06-28,United Kingdom,no
British Airways customer review,Economy Class,2015-06-28,United Kingdom,no
British Airways customer review,Business Class,2015-06-27,United Kingdom,yes
British Airways customer review,Business Class,2015-06-26,United Kingdom,no
British Airways customer review,Business Class,2015-06-26,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-26,United Kingdom,yes
British Airways customer review,Business Class,2015-06-25,United Kingdom,no
British Airways customer review,Economy Class,2015-06-22,United Kingdom,no
British Airways customer review,Business Class,2015-06-21,Australia,yes
British Airways customer review,Economy Class,2015-06-20,Australia,no
British Airways customer review,Business Class,2015-06-19,Luxembourg,yes
British Airways customer review,First Class,2015-06-18,United Kingdom,no
British Airways customer review,Business Class,2015-06-18,United Kingdom,yes
British Airways customer review,First Class,2015-06-17,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-17,United Kingdom,no
British Airways customer review,Business Class,2015-06-17,United Arab Emirates,yes
British Airways customer review,Business Class,2015-06-17,United States,no
British Airways customer review,Economy Class,2015-06-17,Australia,yes
British Airways customer review,Business Class,2015-06-17,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-16,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-14,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-14,United Arab Emirates,yes
British Airways customer review,Economy Class,2015-06-14,Canada,yes
British Airways customer review,Business Class,2015-06-13,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-12,United Kingdom,no
British Airways customer review,Business Class,2015-06-12,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-12,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-12,United Kingdom,yes
British Airways customer review,Business Class,2015-06-12,United Kingdom,yes
British Airways customer review,Business Class,2015-06-12,United Kingdom,no
British Airways customer review,Business Class,2015-06-12,Sweden,no
British Airways customer review,Economy Class,2015-06-12,Ukraine,yes
British Airways customer review,Business Class,2015-06-11,South Africa,yes
British Airways customer review,Business Class,2015-06-11,United Kingdom,yes
British Airways customer review,Premium Economy,2015-06-11,United Kingdom,yes
British Airways customer review,Business Class,2015-06-11,United Kingdom,no
British Airways customer review,Business Class,2015-06-11,United Kingdom,yes
British Airways customer review,Business Class,2015-06-11,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-07,United Kingdom,no
British Airways customer review,Economy Class,2015-06-07,Singapore,no
British Airways customer review,Business Class,2015-06-07,Canada,no
British Airways customer review,First Class,2015-06-07,United Kingdom,no
British Airways customer review,Business Class,2015-06-07,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-06,United Kingdom,no
British Airways customer review,Premium Economy,2015-06-06,Cyprus,no
British Airways customer review,Premium Economy,2015-06-06,United Kingdom,no
British Airways customer review,Economy Class,2015-06-04,United Kingdom,no
British Airways customer review,Economy Class,2015-06-04,United Kingdom,yes
British Airways customer review,Premium Economy,2015-06-01,United Kingdom,no
British Airways customer review,Economy Class,2015-06-01,United Kingdom,yes
British Airways customer review,Economy Class,2015-06-01,Singapore,yes
British Airways customer review,Premium Economy,2015-05-31,United Kingdom,no
British Airways customer review,Economy Class,2015-05-31,United Kingdom,yes
British Airways customer review,Premium Economy,2015-05-31,United Kingdom,yes
British Airways customer review,Economy Class,2015-05-31,United States,no
British Airways customer review,Premium Economy,2015-05-31,United Kingdom,yes
British Airways customer review,Business Class,2015-05-31,Australia,no
British Airways customer review,First Class,2015-05-31,United Kingdom,no
British Airways customer review,Economy Class,2015-05-31,Australia,yes
British Airways customer review,Premium Economy,2015-05-31,United Kingdom,no
British Airways customer review,Economy Class,2015-05-31,Australia,no
British Airways customer review,Economy Class,2015-05-31,United Kingdom,no
British Airways customer review,First Class,2015-05-31,United Kingdom,no
British Airways customer review,Business Class,2015-05-29,Botswana,yes
British Airways customer review,Economy Class,2015-05-29,United Kingdom,yes
British Airways customer review,Business Class,2015-05-28,United Kingdom,no
British Airways customer review,Economy Class,2015-05-28,United Kingdom,yes
British Airways customer review,Business Class,2015-05-27,United Kingdom,yes
